Name,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Marie,4790,12745,8425,5544,5226,,,,,,
Marilyn,,,9285,8700,9281,,,,,,
Marion,1703,5745,4304,,,,,,,,
Marissa,,,,,,,,,3806,4023,
Marjorie,1391,8659,6629,3681,,,,,,,
Marlene,,,,3116,,,,,,,
Marsha,,,,,5402,,,,,,
Martha,2858,8709,7832,8692,9834,5831,,,,,
Mary,22848,70976,64134,56195,65460,51479,19201,11473,8664,6182,
Mattie,1687,2902,,,,,,,,,
Maureen,,,,,4069,,,,,,
Maxine,,3505,2701,,,,,,,,
Maya,,,,,,,,,,,3963
Megan,,,,,,,,9137,20255,11433,
Meghan,,,,,,,,,3693,,
Melanie,,,,,,,4331,4844,3812,,3485
Melinda,,,,,,,4225,3201,,,
Melissa,,,,,,,23743,31631,13996,4528,
Mia,,,,,,,,,,3449,10624
Michele,,,,,,5612,10096,,,,
Michelle,,,,,,9896,34053,19120,13417,5543,
Mildred,5692,18058,9343,3935,,,,,,,
Minnie,1983,3244,,,,,,,,,
Misty,,,,,,,,5542,,,
Molly,,,,,,,,,3964,3399,3359
Monica,,,,,,,6185,6033,4452,,
Monique,,,,,,,,3162,,,
Morgan,,,,,,,,,6047,9502,4072
Myrtle,2145,3955,,,,,,,,,
Nancy,,2982,9068,19730,29621,21898,7065,,,,
Naomi,,,,,,,,,,,3120
Natalia,,,,,,,,,,,3042
Natalie,,,,,,,,4644,5632,8094,8765
Natasha,,,,,,,,3427,,,
Nellie,1928,3763,,,,,,,,,
Nevaeh,,,,,,,,,,,6402
Nicole,,,,,,,10692,19916,17950,8559,
Norma,,3948,8508,5334,,,,,,,
Olivia,,,,,,,,,4622,12852,17012
Opal,1051,,,,,,,,,,
Paige,,,,,,,,,4112,4609,3006
Pamela,,,,,16200,22097,12915,3530,,,
Patricia,,,15746,32661,47945,32104,13404,5309,3579,,
Patsy,,,2543,4079,,,,,,,
Paula,,,,,6633,8066,6051,,,,
Pauline,2153,7179,4653,,,,,,,,
Payton,,,,,,,,,,,3579
Pearl,2177,4204,,,,,,,,,
Peggy,,,4081,6127,8525,6433,,,,,
Peyton,,,,,,,,,,,4967
Phyllis,,3852,7770,7415,6697,,,,,,
Rachel,,,,,,,6032,11624,15703,10665,3010
Rebecca,,,,2555,9422,9970,10859,15282,13670,7055,
Regina,,,,,,,4435,,,,
Renee,,,,,,5205,5373,,,,
Rhonda,,,,,,9258,7383,,,,
Riley,,,,,,,,,,,5534
Rita,,4977,5467,3440,6422,5027,,,,,
Roberta,,,,3432,3632,,,,,,
Robin,,,,,,13979,7002,,,,
Rosa,1131,,,,,,,,,,
Rose,3837,9011,7693,5197,5370,4889,,,,,
Rosemary,,,3152,2874,,,,,,,
Ruby,2893,8337,5990,3617,,,,,,,
Ruth,7212,26100,14937,8886,7125,4943,,,,,
Sabrina,,,,,,,,,,3465,
Sadie,886,,,,,,,,,,
Sally,,,2544,3805,4870,,,,,,
Samantha,,,,,,,,4919,25864,17264,8396
Sandra,,,,16151,28893,24572,11242,3995,,,
